country,year,precip_mm_yr
Italy,2013,1023.1963475499092
Italy,2014,1098.3625226860254
Italy,2015,734.4709618874773
Italy,2016,863.8508393829401
Italy,2017,687.5953947368421
Italy,2018,949.620859800363
Italy,2019,984.4225272232305
Italy,2020,834.415834845735
Italy,2021,811.2708711433756
Italy,2022,679.0018715970962
Italy,2023,876.766333938294
Italy,2024,978.5308529945554
Latvia,1950,629.6777982026143
Latvia,1951,411.9666564542484
Latvia,1952,634.5392156862745
Latvia,1953,487.0411560457516
Latvia,1954,611.1301062091503
Latvia,1955,527.7620506535948
Latvia,1956,610.2065461601308
Latvia,1957,641.8594771241831
Latvia,1958,533.375816993464
Latvia,1959,479.55361519607845
Latvia,1960,587.8078533496732
Latvia,1961,547.8438010620915
Latvia,1962,682.9202920751634
Latvia,1963,458.515727124183
Latvia,1964,436.7124183006536
Latvia,1965,487.68040236928107
Latvia,1966,635.1902062908497
Latvia,1967,621.2725694444445
Latvia,1968,557.7072099673203
Latvia,1969,530.4189644607843
Latvia,1970,587.8405330882352
Latvia,1971,530.0758272058823
Latvia,1972,583.5790951797386
Latvia,1973,593.0137867647059
Latvia,1974,666.374591503268
Latvia,1975,462.1372549019608
Latvia,1976,496.5379391339869
Latvia,1977,679.2313112745098
Latvia,1978,775.7006229575163
Latvia,1979,595.8006535947712
Latvia,1980,719.3144403594771
Latvia,1981,764.1830065359477
Latvia,1982,510.297385620915
Latvia,1983,640.5823120915032
Latvia,1984,600.7961090686274
Latvia,1985,662.4869281045752
Latvia,1986,694.9947406045752
Latvia,1987,622.3960886437909
Latvia,1988,651.6333741830065
Latvia,1989,632.8699448529412
Latvia,1990,779.1935253267974
Latvia,1991,626.2254901960785
Latvia,1992,596.2875816993464
Latvia,1993,678.2562295751634
Latvia,1994,636.3601409313726
Latvia,1995,653.3745404411765
Latvia,1996,546.0424836601308
Latvia,1997,693.7909007352941
Latvia,1998,787.6065155228758
Latvia,1999,626.4836601307189
Latvia,2000,618.5091911764706
Latvia,2001,751.9313725490196
Latvia,2002,557.1535947712418
Latvia,2003,597.3203125
Latvia,2004,655.6987336601308
Latvia,2005,582.4189133986928
Latvia,2006,510.2516339869281
Latvia,2007,717.3796977124183
Latvia,2008,660.1195874183006
Latvia,2009,545.5536151960785
Latvia,2010,381.6215788398693
Latvia,2011,291.914368872549
Latvia,2012,357.70458026960785
Latvia,2013,311.961448120915
Latvia,2014,480.62086397058823
Latvia,2015,580.7693014705883
Latvia,2016,705.7306985294117
Latvia,2017,743.0529003267974
Latvia,2018,409.1745046977124
Latvia,2019,584.9980596405229
Latvia,2020,551.3862847222222
Latvia,2021,591.8071895424837
Latvia,2022,613.1797385620915
Latvia,2023,709.3654003267974
Latvia,2024,589.0895629084968
Lithuania,1950,746.4029664855072
Lithuania,1951,440.64419157608694
Lithuania,1952,641.2239583333334
Lithuania,1953,423.26737998188406
Lithuania,1954,686.9920742753624
Lithuania,1955,509.4065330615942
Lithuania,1956,598.8064990942029
Lithuania,1957,626.163722826087
Lithuania,1958,584.5840692934783
Lithuania,1959,509.24060235507244
Lithuania,1960,680.392776268116
Lithuania,1961,558.6188858695652
Lithuania,1962,653.9137794384058
Lithuania,1963,538.176120923913
Lithuania,1964,440.8231997282609
Lithuania,1965,547.6551177536232
Lithuania,1966,648.4717504528985
Lithuania,1967,675.697803442029
Lithuania,1968,575.9768455615942
Lithuania,1969,560.2203351449275
Lithuania,1970,630.7122961956521
Lithuania,1971,492.06159420289856
Lithuania,1972,664.9145153985507
Lithuania,1973,609.9557857789855
Lithuania,1974,743.9551064311594
Lithuania,1975,497.4869791666667
Lithuania,1976,484.8775475543478
Lithuania,1977,649.5840692934783
Lithuania,1978,715.3216711956521
Lithuania,1979,635.2905910326087
Lithuania,1980,776.9492753623189
Lithuania,1981,747.2746829710145
Lithuania,1982,520.4710144927536
Lithuania,1983,678.8101222826087
Lithuania,1984,617.514549365942
Lithuania,1985,700.0079257246376
Lithuania,1986,706.6029211956521
Lithuania,1987,675.0797101449275
